Parameter,Statistic,Area,Validity Datetime,Value
All parameters,RMSE components of Global NWP Index,All Areas,201109010000,119.269
All parameters,RMSE components of Global NWP Index,All Areas,201110010000,116.423
All parameters,RMSE components of Global NWP Index,All Areas,201111010000,125.53375
All parameters,RMSE components of Global NWP Index,All Areas,201112010000,123.47375
All parameters,RMSE components of Global NWP Index,All Areas,201201010000,127.01
All parameters,RMSE components of Global NWP Index,All Areas,201202010000,130.30825
All parameters,RMSE components of Global NWP Index,All Areas,201203010000,129.93675
All parameters,RMSE components of Global NWP Index,All Areas,201204010000,122.61425
All parameters,RMSE components of Global NWP Index,All Areas,201205010000,116.32075
All parameters,RMSE components of Global NWP Index,All Areas,201206010000,113.19925
All parameters,RMSE components of Global NWP Index,All Areas,201207010000,108.6835
All parameters,RMSE components of Global NWP Index,All Areas,201208010000,110.53775
All parameters,RMSE components of Global NWP Index,All Areas,201209010000,111.96875
All parameters,RMSE components of Global NWP Index,All Areas,201210010000,110.7515
All parameters,RMSE components of Global NWP Index,All Areas,201211010000,111.1815
All parameters,RMSE components of Global NWP Index,All Areas,201212010000,114.1745
All parameters,RMSE components of Global NWP Index,All Areas,201301010000,119.6745
All parameters,RMSE components of Global NWP Index,All Areas,201302010000,110.8805
All parameters,RMSE components of Global NWP Index,All Areas,201303010000,116.837
All parameters,RMSE components of Global NWP Index,All Areas,201304010000,116.4345
All parameters,RMSE components of Global NWP Index,All Areas,201305010000,114.18225
All parameters,RMSE components of Global NWP Index,All Areas,201306010000,113.53025
All parameters,RMSE components of Global NWP Index,All Areas,201307010000,108.3345
All parameters,RMSE components of Global NWP Index,All Areas,201308010000,110.466
All parameters,RMSE components of Global NWP Index,All Areas,201309010000,114.00425
All parameters,RMSE components of Global NWP Index,All Areas,201310010000,109.17225
All parameters,RMSE components of Global NWP Index,All Areas,201311010000,118.11325
All parameters,RMSE components of Global NWP Index,All Areas,201312010000,111.2535
All parameters,RMSE components of Global NWP Index,All Areas,201401010000,118.413
All parameters,RMSE components of Global NWP Index,All Areas,201402010000,116.52775
All parameters,RMSE components of Global NWP Index,All Areas,201403010000,118.54425
All parameters,RMSE components of Global NWP Index,All Areas,201404010000,115.5655
All parameters,RMSE components of Global NWP Index,All Areas,201405010000,109.8325
All parameters,RMSE components of Global NWP Index,All Areas,201406010000,108.6085
All parameters,RMSE components of Global NWP Index,All Areas,201407010000,108.33775
All parameters,RMSE components of Global NWP Index,All Areas,201408010000,109.65375
All parameters,RMSE components of Global NWP Index,All Areas,201409010000,110.92325
All parameters,RMSE components of Global NWP Index,All Areas,201410010000,111.99475
All parameters,RMSE components of Global NWP Index,All Areas,201411010000,113.5585
All parameters,RMSE components of Global NWP Index,All Areas,201412010000,111.32925
All parameters,RMSE components of Global NWP Index,All Areas,201501010000,111.5345
All parameters,RMSE components of Global NWP Index,All Areas,201502010000,112.804
All parameters,RMSE components of Global NWP Index,All Areas,201503010000,112.35475
All parameters,RMSE components of Global NWP Index,All Areas,201504010000,111.65075
All parameters,RMSE components of Global NWP Index,All Areas,201505010000,104.5835
All parameters,RMSE components of Global NWP Index,All Areas,201506010000,104.01475
