Parameter,Statistic,Area,Validity Datetime,Value
All parameters,RMSE components of Global NWP Index,All Areas,201309010000,95.49152115
All parameters,RMSE components of Global NWP Index,All Areas,201310010000,95.46134365
All parameters,RMSE components of Global NWP Index,All Areas,201311010000,102.8348768
All parameters,RMSE components of Global NWP Index,All Areas,201312010000,99.402010625
All parameters,RMSE components of Global NWP Index,All Areas,201401010000,103.261687775
All parameters,RMSE components of Global NWP Index,All Areas,201402010000,103.057231125
All parameters,RMSE components of Global NWP Index,All Areas,201403010000,101.3336305
All parameters,RMSE components of Global NWP Index,All Areas,201404010000,94.668389175
All parameters,RMSE components of Global NWP Index,All Areas,201405010000,93.6295069
All parameters,RMSE components of Global NWP Index,All Areas,201406010000,90.751897175
All parameters,RMSE components of Global NWP Index,All Areas,201407010000,90.633347225
All parameters,RMSE components of Global NWP Index,All Areas,201408010000,91.471503675
All parameters,RMSE components of Global NWP Index,All Areas,201409010000,91.266249125
All parameters,RMSE components of Global NWP Index,All Areas,201410010000,92.016692525
All parameters,RMSE components of Global NWP Index,All Areas,201411010000,97.847749525
All parameters,RMSE components of Global NWP Index,All Areas,201412010000,99.7510901
All parameters,RMSE components of Global NWP Index,All Areas,201501010000,100.66866825
All parameters,RMSE components of Global NWP Index,All Areas,201502010000,98.54401875
All parameters,RMSE components of Global NWP Index,All Areas,201503010000,94.50010035
All parameters,RMSE components of Global NWP Index,All Areas,201504010000,96.29743445
All parameters,RMSE components of Global NWP Index,All Areas,201505010000,94.287959425
All parameters,RMSE components of Global NWP Index,All Areas,201506010000,96.361355575
